Date,Day,Week,Quarter,Month,Year,Media Buyer,Vertical,Source,Revenue,Net Profit,Margin,Incoming,Connected,Converted,No Connect,ACL Sec
2025-05-21,Wednesday,21,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,10336.71,2762.35,0.267,730,657,406,73,765
2025-05-22,Thursday ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3343.89,887.42,0.265,209,202,124,7,920
2025-05-22,Thursday ,21,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,3328.22,887.17,0.267,251,225,118,26,729
2025-05-22,Thursday ,21,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,9884.56,2607.35,0.264,686,632,379,54,863
2025-05-23,Friday   ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3981.67,1056.50,0.265,268,238,162,30,852
2025-05-23,Friday   ,21,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,5828.53,1559.87,0.268,422,380,228,42,736
2025-05-24,Saturday ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-1.02,NULL,12,0,0,12,115
2025-05-25,Sunday   ,21,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-0.11,NULL,1,0,0,1,122
2025-05-26,Monday   ,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,34.00,9.01,0.265,15,6,2,9,104
2025-05-26,Monday   ,22,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,22.00,5.76,0.262,11,2,1,9,103
2025-05-27,Tuesday  ,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3837.07,911.50,0.238,289,262,147,27,857
2025-05-27,Tuesday  ,22,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,1250.78,311.25,0.249,189,125,56,64,548
2025-05-27,Tuesday  ,22,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,8595.38,2204.10,0.256,667,577,339,90,701
2025-05-28,Wednesday,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,383.75,97.56,0.254,21,20,14,1,1401
2025-05-28,Wednesday,22,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,2765.24,606.06,0.219,215,188,91,27,701
2025-05-28,Wednesday,22,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,8345.65,2059.58,0.247,578,505,292,73,738
2025-05-28,Wednesday,22,2,May      ,2025,Unik - Final Expense - Affiliate,FINAL EXPENSE ENGLISH,NULL,0.00,-0.04,NULL,1,0,0,1,6
2025-05-29,Thursday ,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,6092.10,1411.51,0.232,422,390,223,32,947
2025-05-29,Thursday ,22,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,3938.76,848.43,0.215,330,282,142,48,676
2025-05-29,Thursday ,22,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,10708.37,2784.70,0.260,678,617,381,61,798
2025-05-30,Friday   ,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,4950.35,1178.03,0.238,365,325,181,40,837
2025-05-30,Friday   ,22,2,May      ,2025,Paragon Media,MEDICARE ENGLISH,NULL,2587.22,552.55,0.214,201,179,99,22,773
2025-05-30,Friday   ,22,2,May      ,2025,Scalability,MEDICARE ENGLISH,NULL,6962.91,1719.56,0.247,453,403,249,50,840
2025-05-31,Saturday ,22,2,May      ,2025,Matt Watt,MEDICARE ENGLISH,NULL,15.58,1.30,0.084,29,1,1,28,144
2025-06-01,Sunday   ,22,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-2.84,NULL,27,0,0,27,153
2025-06-02,Monday   ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,2945.77,682.69,0.232,248,224,139,24,749
2025-06-02,Monday   ,23,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,2700.08,590.53,0.219,282,229,110,53,485
2025-06-02,Monday   ,23,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,8209.62,2018.34,0.246,599,518,357,81,771
2025-06-03,Tuesday  ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,2949.41,686.34,0.233,204,187,102,17,972
2025-06-03,Tuesday  ,23,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,3437.35,757.49,0.220,259,225,127,34,644
2025-06-03,Tuesday  ,23,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,9884.04,2404.48,0.243,627,571,386,56,962
2025-06-04,Wednesday,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,2629.93,599.45,0.228,190,178,109,12,967
2025-06-04,Wednesday,23,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,3913.06,865.60,0.221,272,248,142,24,679
2025-06-04,Wednesday,23,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,5198.29,1280.66,0.246,381,341,218,40,756
2025-06-05,Thursday ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,5259.92,1234.75,0.235,359,321,222,38,854
2025-06-05,Thursday ,23,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,4679.65,1003.52,0.214,324,304,173,20,849
2025-06-05,Thursday ,23,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,11137.56,2744.44,0.246,689,631,443,58,900
2025-06-06,Friday   ,23,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,0.00,-1.09,NULL,21,7,0,14,55
2025-06-06,Friday   ,23,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,26.09,7.09,0.272,2,2,1,0,599
2025-06-06,Friday   ,23,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,43.00,10.73,0.250,10,5,3,5,342
2025-06-06,Friday   ,23,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,18.00,4.77,0.265,10,2,1,8,66
2025-06-06,Friday   ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,4781.59,1119.67,0.234,374,323,213,51,753
2025-06-06,Friday   ,23,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,7933.00,1700.87,0.214,682,592,364,90,679
2025-06-06,Friday   ,23,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,5822.11,1427.96,0.245,396,359,244,37,843
2025-06-07,Saturday ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-1.19,NULL,15,0,0,15,111
2025-06-08,Sunday   ,23,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-0.35,NULL,4,0,0,4,132
2025-06-09,Monday   ,24,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,275.00,76.69,0.279,16,15,6,1,594
2025-06-09,Monday   ,24,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,1690.66,454.07,0.269,207,162,89,45,409
2025-06-09,Monday   ,24,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,54.00,15.26,0.283,10,6,3,4,123
2025-06-09,Monday   ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,74.30,37.38,0.503,12,9,4,3,342
2025-06-09,Monday   ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,2920.98,653.88,0.224,228,209,123,19,982
2025-06-09,Monday   ,24,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,11934.06,2595.33,0.217,974,867,513,107,671
2025-06-09,Monday   ,24,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,5727.97,1392.61,0.243,409,371,241,38,853
2025-06-10,Tuesday  ,24,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,245.00,66.11,0.270,14,14,5,0,603
2025-06-10,Tuesday  ,24,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,713.00,167.66,0.235,50,42,18,8,483
2025-06-10,Tuesday  ,24,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,1972.49,441.22,0.224,212,180,91,32,619
2025-06-10,Tuesday  ,24,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,241.00,65.65,0.272,40,16,13,24,252
2025-06-10,Tuesday  ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,1902.44,647.80,0.341,140,138,81,2,558
2025-06-10,Tuesday  ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1088.18,245.09,0.225,66,60,41,6,1235
2025-06-10,Tuesday  ,24,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,7031.31,1470.70,0.209,445,411,256,34,854
2025-06-10,Tuesday  ,24,2,June     ,2025,Scalability,ACA ENGLISH,NULL,0.00,-0.04,NULL,1,0,0,1,10
2025-06-10,Tuesday  ,24,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,9466.38,2019.63,0.213,569,533,335,36,1017
2025-06-10,Tuesday  ,24,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,6390.81,1437.33,0.225,640,518,270,122,548
2025-06-10,Tuesday  ,24,2,June     ,2025,Unik - Final Expense - Affiliate,FINAL EXPENSE ENGLISH,NULL,55.11,15.10,0.274,15,14,2,1,127
2025-06-11,Wednesday,24,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,328.00,77.84,0.237,22,22,8,0,294
2025-06-11,Wednesday,24,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,386.54,81.40,0.211,28,26,11,2,545
2025-06-11,Wednesday,24,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,790.26,136.67,0.173,90,69,42,21,428
2025-06-11,Wednesday,24,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,108.00,29.01,0.269,49,9,6,40,86
2025-06-11,Wednesday,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,962.62,301.80,0.314,71,59,45,12,645
2025-06-11,Wednesday,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,2336.99,489.94,0.210,168,150,93,18,936
2025-06-11,Wednesday,24,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,8102.28,1591.82,0.196,534,483,291,51,842
2025-06-11,Wednesday,24,2,June     ,2025,Scalability,ACA ENGLISH,NULL,370.25,89.73,0.242,513,69,16,444,39
2025-06-11,Wednesday,24,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,10031.62,1963.15,0.196,753,679,397,74,752
2025-06-11,Wednesday,24,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,4405.39,821.76,0.187,668,391,194,277,332
2025-06-12,Thursday ,24,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,124.98,25.39,0.203,19,17,7,2,269
2025-06-12,Thursday ,24,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,265.00,60.69,0.229,25,24,6,1,349
2025-06-12,Thursday ,24,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,0.00,-0.56,NULL,10,6,0,4,71
2025-06-12,Thursday ,24,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,1069.44,176.93,0.165,110,89,50,21,545
2025-06-12,Thursday ,24,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,303.56,84.14,0.277,83,32,18,51,106
2025-06-12,Thursday ,24,2,June     ,2025,HAF,FINAL EXPENSE ENGLISH,NULL,513.20,120.74,0.235,20,19,12,1,612
2025-06-12,Thursday ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,1154.82,253.04,0.219,113,84,57,29,513
2025-06-12,Thursday ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1149.62,190.51,0.166,76,69,44,7,856
2025-06-12,Thursday ,24,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,8209.36,1654.88,0.202,604,519,315,85,671
2025-06-12,Thursday ,24,2,June     ,2025,Scalability,ACA ENGLISH,NULL,554.35,149.09,0.269,337,85,21,252,53
2025-06-12,Thursday ,24,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,14385.68,2826.69,0.196,978,872,558,106,839
2025-06-12,Thursday ,24,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,5892.28,1153.56,0.196,673,529,256,144,483
2025-06-12,Thursday ,24,2,June     ,2025,Unik - Medicare Spanish - Affiliate,MEDICARE SPANISH,NULL,0.00,0.00,NULL,168,0,0,168,0
2025-06-13,Friday   ,24,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,121.14,23.42,0.193,12,10,7,2,595
2025-06-13,Friday   ,24,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,373.00,87.37,0.234,27,26,9,1,345
2025-06-13,Friday   ,24,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,45.00,7.11,0.158,15,13,1,2,184
2025-06-13,Friday   ,24,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,912.65,148.69,0.163,110,86,44,24,497
2025-06-13,Friday   ,24,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,249.29,64.29,0.258,86,27,14,59,169
2025-06-13,Friday   ,24,2,June     ,2025,HAF,FINAL EXPENSE ENGLISH,NULL,125.00,28.87,0.231,7,6,3,1,534
2025-06-13,Friday   ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,1446.72,324.41,0.224,124,102,64,22,486
2025-06-13,Friday   ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1194.89,193.76,0.162,93,78,48,15,804
2025-06-13,Friday   ,24,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,6781.86,1331.21,0.196,531,470,279,61,709
2025-06-13,Friday   ,24,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,8493.70,1671.45,0.197,705,619,358,86,656
2025-06-13,Friday   ,24,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,6765.55,1354.90,0.200,861,691,299,170,370
2025-06-13,Friday   ,24,2,June     ,2025,Unik - Medicare Spanish - Affiliate,MEDICARE SPANISH,NULL,72.00,20.52,0.285,7,4,4,3,224
2025-06-14,Saturday ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,0.00,-5.11,NULL,61,0,0,61,108
2025-06-14,Saturday ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-2.63,NULL,27,0,0,27,148
2025-06-15,Sunday   ,24,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,0.00,-1.16,NULL,9,0,0,9,178
2025-06-15,Sunday   ,24,2,June     ,2025,Matt Watt,AUTO INSURANCE ENGLISH,NULL,0.00,-0.07,NULL,8,0,0,8,0
2025-06-15,Sunday   ,24,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-0.84,NULL,10,0,0,10,120
2025-06-16,Monday   ,25,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,700.86,133.23,0.190,92,75,42,17,489
2025-06-16,Monday   ,25,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,327.50,75.12,0.229,36,34,10,2,295
2025-06-16,Monday   ,25,2,June     ,2025,DigiPeak,FINAL EXPENSE ENGLISH,NULL,0.00,-0.04,NULL,1,1,0,0,22
2025-06-16,Monday   ,25,2,June     ,2025,DigiPeak,MEDICARE ENGLISH,NULL,292.92,49.17,0.168,55,38,19,17,263
2025-06-16,Monday   ,25,2,June     ,2025,DigiPeak,MEDICARE SPANISH,NULL,192.27,48.02,0.250,59,23,11,36,243
2025-06-16,Monday   ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,426.44,88.03,0.206,44,34,19,10,691
2025-06-16,Monday   ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,3804.61,569.68,0.150,434,351,208,83,725
2025-06-16,Monday   ,25,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,7238.74,1324.46,0.183,523,472,272,51,738
2025-06-16,Monday   ,25,2,June     ,2025,Scalability,ACA ENGLISH,NULL,118.45,25.97,0.219,68,7,5,61,54
2025-06-16,Monday   ,25,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,12666.73,2521.39,0.199,1026,925,585,101,687
2025-06-16,Monday   ,25,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,7028.34,1406.13,0.200,941,713,382,228,366
2025-06-16,Monday   ,25,2,June     ,2025,Unik,MEDICARE SPANISH,NULL,84.27,28.14,0.334,22,10,5,12,206
2025-06-17,Tuesday  ,25,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,1091.13,200.46,0.184,127,103,51,24,361
2025-06-17,Tuesday  ,25,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,647.42,125.30,0.194,26,24,17,2,771
2025-06-17,Tuesday  ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,683.82,158.43,0.232,85,59,35,26,405
2025-06-17,Tuesday  ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,9828.50,1634.55,0.166,912,743,445,169,618
2025-06-17,Tuesday  ,25,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,7492.85,1319.22,0.176,616,545,289,71,677
2025-06-17,Tuesday  ,25,2,June     ,2025,Scalability,ACA ENGLISH,NULL,118.20,27.73,0.235,38,10,5,28,50
2025-06-17,Tuesday  ,25,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,3486.37,664.84,0.191,361,322,166,39,618
2025-06-17,Tuesday  ,25,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,6645.37,1286.48,0.194,1025,647,300,378,394
2025-06-17,Tuesday  ,25,2,June     ,2025,Unik,MEDICARE SPANISH,NULL,561.50,94.07,0.168,101,48,30,53,277
2025-06-18,Wednesday,25,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,989.57,181.42,0.183,105,77,45,28,395
2025-06-18,Wednesday,25,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,665.00,120.36,0.181,36,35,16,1,458
2025-06-18,Wednesday,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,2174.24,494.93,0.228,223,190,111,33,427
2025-06-18,Wednesday,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,12858.26,2161.73,0.168,1339,1026,603,313,554
2025-06-18,Wednesday,25,2,June     ,2025,Momentum,AUTO INSURANCE ENGLISH,NULL,0.00,-0.04,NULL,1,0,0,1,1
2025-06-18,Wednesday,25,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,6252.51,1134.91,0.182,546,489,254,57,528
2025-06-18,Wednesday,25,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,3692.82,724.68,0.196,346,298,156,48,587
2025-06-18,Wednesday,25,2,June     ,2025,Unik,MEDICARE ENGLISH,NULL,3857.32,765.75,0.199,1124,339,151,785,195
2025-06-18,Wednesday,25,2,June     ,2025,Unik,MEDICARE SPANISH,NULL,0.00,-0.60,NULL,1526,2,0,1524,0
2025-06-19,Thursday ,25,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,363.36,64.48,0.177,49,42,16,7,383
2025-06-19,Thursday ,25,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,108.68,12.91,0.119,11,10,4,1,499
2025-06-19,Thursday ,25,2,June     ,2025,HAF,FINAL EXPENSE ENGLISH,NULL,108.00,25.04,0.232,4,4,3,0,807
2025-06-19,Thursday ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,191.93,40.32,0.210,29,19,12,10,430
2025-06-19,Thursday ,25,2,June     ,2025,Inulti,FINAL EXPENSE ENGLISH,NULL,867.45,195.93,0.226,89,72,31,17,370
2025-06-19,Thursday ,25,2,June     ,2025,Inulti,MEDICARE ENGLISH,NULL,786.39,167.62,0.213,73,64,37,9,652
2025-06-19,Thursday ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,4206.81,676.37,0.161,438,380,173,58,614
2025-06-19,Thursday ,25,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,5416.78,1089.05,0.201,375,337,173,38,625
2025-06-19,Thursday ,25,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,4128.34,854.25,0.207,339,300,153,39,576
2025-06-19,Thursday ,25,2,June     ,2025,TTS Venture,MEDICARE ENGLISH,NULL,1710.83,368.94,0.216,215,138,73,77,441
2025-06-20,Friday   ,25,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,1216.79,206.77,0.170,163,127,53,36,481
2025-06-20,Friday   ,25,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,0.00,-0.04,NULL,1,0,0,1,4
2025-06-20,Friday   ,25,2,June     ,2025,Ancelet RTB,FINAL EXPENSE ENGLISH,NULL,234.88,30.41,0.129,27,27,8,0,272
2025-06-20,Friday   ,25,2,June     ,2025,HAF,FINAL EXPENSE ENGLISH,NULL,72.00,16.46,0.229,10,9,2,1,232
2025-06-20,Friday   ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,596.47,123.67,0.207,96,68,30,28,427
2025-06-20,Friday   ,25,2,June     ,2025,Inulti,ACA ENGLISH,NULL,188.50,36.24,0.192,125,20,11,105,119
2025-06-20,Friday   ,25,2,June     ,2025,Inulti,FINAL EXPENSE ENGLISH,NULL,161.69,31.29,0.194,60,32,6,28,228
2025-06-20,Friday   ,25,2,June     ,2025,Inulti,MEDICARE ENGLISH,NULL,2524.36,553.85,0.219,256,230,96,26,487
2025-06-20,Friday   ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,6661.65,1033.04,0.155,1161,928,351,233,414
2025-06-20,Friday   ,25,2,June     ,2025,Momentum,AUTO INSURANCE ENGLISH,NULL,0.00,-0.11,NULL,4,0,0,4,1
2025-06-20,Friday   ,25,2,June     ,2025,Paragon Media,MEDICARE ENGLISH,NULL,3911.25,699.18,0.179,383,333,165,50,516
2025-06-20,Friday   ,25,2,June     ,2025,Scalability,MEDICARE ENGLISH,NULL,4349.67,863.54,0.199,445,375,216,70,496
2025-06-20,Friday   ,25,2,June     ,2025,TTS Venture,MEDICARE ENGLISH,NULL,1470.77,305.92,0.208,250,161,74,89,395
2025-06-21,Saturday ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,0.00,-1.40,NULL,17,0,0,17,120
2025-06-21,Saturday ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-1.37,NULL,26,13,0,13,54
2025-06-21,Saturday ,25,2,June     ,2025,TTS Venture,MEDICARE ENGLISH,NULL,0.00,-0.42,NULL,6,0,0,6,98
2025-06-22,Sunday   ,25,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,0.00,-0.77,NULL,7,0,0,7,148
2025-06-22,Sunday   ,25,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,0.00,-0.53,NULL,10,5,0,5,54
2025-06-22,Sunday   ,25,2,June     ,2025,TTS Venture,MEDICARE ENGLISH,NULL,0.00,-0.04,NULL,2,0,0,2,0
2025-06-23,Monday   ,26,2,June     ,2025,Adsparkx Media,MEDICARE ENGLISH,NULL,575.84,96.57,0.168,82,63,30,19,482
2025-06-23,Monday   ,26,2,June     ,2025,Ancelet,FINAL EXPENSE ENGLISH,NULL,0.00,-1.68,NULL,19,17,0,2,115
2025-06-23,Monday   ,26,2,June     ,2025,Ancelet RTB,FINAL EXPENSE ENGLISH,NULL,682.80,86.46,0.127,41,39,17,2,635
2025-06-23,Monday   ,26,2,June     ,2025,Cubatica,MEDICARE ENGLISH,NULL,136.38,22.87,0.168,11,11,6,0,659
2025-06-23,Monday   ,26,2,June     ,2025,Cubatica,MEDICARE SPANISH,NULL,25.00,4.47,0.179,8,3,1,5,355
2025-06-23,Monday   ,26,2,June     ,2025,HAF,ACA ENGLISH,NULL,314.81,87.40,0.278,35,33,23,2,305
2025-06-23,Monday   ,26,2,June     ,2025,HAF,MEDICARE ENGLISH,NULL,209.40,55.96,0.267,35,21,9,14,305
2025-06-23,Monday   ,26,2,June     ,2025,Inulti,ACA ENGLISH,NULL,0.00,-0.56,NULL,10,0,0,10,51
2025-06-23,Monday   ,26,2,June     ,2025,Inulti,FINAL EXPENSE ENGLISH,NULL,161.30,36.09,0.224,13,10,5,3,525
2025-06-23,Monday   ,26,2,June     ,2025,Inulti,MEDICARE ENGLISH,NULL,2410.75,504.34,0.209,235,203,107,32,687
2025-06-23,Monday   ,26,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1785.84,272.89,0.153,245,192,82,53,558
2025-06-23,Monday   ,26,2,June     ,2025,Matt Watt,MEDICARE ENGLISH,NULL,1794.74,500.90,0.279,265,199,105,66,341
